iShares Core S&P 500 ETF
Inception Date,"May 15, 2000"
Fund Holdings as of,"Feb 28, 2017"
Total Net Assets,"97,843,780,499.36"
Shares Outstanding,"411,150,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"BDX","BECTON DICKINSON","Equity","0.19","183.05","1,020,244.00","186,755,664.20","186,755,664.20","Health Care","2087807","US0758871091","New York Stock Exchange Inc."
"EMR","EMERSON ELECTRIC","Equity","0.19","60.10","3,088,450.00","185,615,845.00","185,615,845.00","Industrials","2313405","US2910111044","New York Stock Exchange Inc."
"CI","CIGNA CORP","Equity","0.19","148.90","1,233,855.00","183,721,009.50","183,721,009.50","Health Care","2196479","US1255091092","New York Stock Exchange Inc."
"HPE","HEWLETT PACKARD ENTERPRISE","Equity","0.19","22.82","7,997,922.00","182,512,580.04","182,512,580.04","Information Technology","BYVYWS0","US42824C1099","New York Stock Exchange Inc."
"MMC","MARSH & MCLENNAN INC","Equity","0.19","73.48","2,477,729.00","182,063,526.92","182,063,526.92","Financials","2567741","US5717481023","New York Stock Exchange Inc."
"DAL","DELTA AIR LINES INC","Equity","0.18","49.93","3,534,687.00","176,486,921.91","176,486,921.91","Industrials","B1W9D46","US2473617023","New York Stock Exchange Inc."
"APC","ANADARKO PETROLEUM CORP","Equity","0.18","64.65","2,684,816.00","173,573,354.40","173,573,354.40","Energy","2032380","US0325111070","New York Stock Exchange Inc."
"CTSH","COGNIZANT TECHNOLOGY SOLUTIONS COR","Equity","0.18","59.27","2,916,818.00","172,879,802.86","172,879,802.86","Information Technology","2257019","US1924461023","NASDAQ"
"GIS","GENERAL MILLS INC","Equity","0.18","60.37","2,841,048.00","171,514,067.76","171,514,067.76","Consumer Staples","2367026","US3703341046","New York Stock Exchange Inc."
"LUV","SOUTHWEST AIRLINES","Equity","0.18","57.80","2,963,624.00","171,297,467.20","171,297,467.20","Industrials","2831543","US8447411088","New York Stock Exchange Inc."
"NSC","NORFOLK SOUTHERN CORP","Equity","0.17","121.03","1,403,122.00","169,819,855.66","169,819,855.66","Industrials","2641894","US6558441084","New York Stock Exchange Inc."
"EBAY","EBAY INC","Equity","0.17","33.90","4,989,376.00","169,139,846.40","169,139,846.40","Information Technology","2293819","US2786421030","NASDAQ"
"TRV","TRAVELERS COMPANIES INC","Equity","0.17","122.24","1,363,350.00","166,655,904.00","166,655,904.00","Financials","2769503","US89417E1091","New York Stock Exchange Inc."
"PSX","PHILLIPS 66","Equity","0.17","78.19","2,128,698.00","166,442,896.62","166,442,896.62","Energy","B78C4Y8","US7185461040","New York Stock Exchange Inc."
"ICE","INTERCONTINENTAL EXCHANGE INC","Equity","0.17","57.13","2,864,330.00","163,639,172.90","163,639,172.90","Financials","BFSSDS9","US45866F1049","New York Stock Exchange Inc."
"PSA","PUBLIC STORAGE REIT","Equity","0.17","227.46","717,366.00","163,172,070.36","163,172,070.36","Real Estate","2852533","US74460D1090","New York Stock Exchange Inc."
"EXC","EXELON CORP","Equity","0.17","36.71","4,440,815.00","163,022,318.65","163,022,318.65","Utilities","2670519","US30161N1019","New York Stock Exchange Inc."
"PX","PRAXAIR INC","Equity","0.17","118.71","1,372,521.00","162,931,967.91","162,931,967.91","Materials","2699291","US74005P1049","New York Stock Exchange Inc."
"CCI","CROWN CASTLE INTERNATIONAL REIT CO","Equity","0.17","93.53","1,734,597.00","162,236,857.41","162,236,857.41","Real Estate","BTGQCX1","US22822V1017","New York Stock Exchange Inc."
"PCG","PG&E CORP","Equity","0.17","66.75","2,426,259.00","161,952,788.25","161,952,788.25","Utilities","2689560","US69331C1080","New York Stock Exchange Inc."
"SPGI","S&P GLOBAL INC","Equity","0.16","129.47","1,243,140.00","160,949,335.80","160,949,335.80","Financials","BYV2325","US78409V1044","New York Stock Exchange Inc."
"BSX","BOSTON SCIENTIFIC CORP","Equity","0.16","24.55","6,545,817.00","160,699,807.35","160,699,807.35","Health Care","2113434","US1011371077","New York Stock Exchange Inc."
"TGT","TARGET CORP","Equity","0.16","58.77","2,699,461.00","158,647,322.97","158,647,322.97","Consumer Discretionary","2259101","US87612E1064","New York Stock Exchange Inc."
"AEP","AMERICAN ELECTRIC POWER INC","Equity","0.16","66.97","2,365,452.00","158,414,320.44","158,414,320.44","Utilities","2026242","US0255371017","New York Stock Exchange Inc."
