iShares Core S&P 500 ETF
Inception Date,"May 15, 2000"
Fund Holdings as of,"Sep 29, 2017"
Total Net Assets,"126,492,385,434.10"
Shares Outstanding,"500,000,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"CL","COLGATE-PALMOLIVE","Equity","0.30","72.85","5,165,500.00","376,306,675.00","376,306,675.00","Consumer Staples","2209106","US1941621039","New York Stock Exchange Inc."
"CRM","SALESFORCE.COM INC","Equity","0.29","93.42","4,006,715.00","374,307,315.30","374,307,315.30","Information Technology","2310525","US79466L3024","New York Stock Exchange Inc."
"MDLZ","MONDELEZ INTERNATIONAL INC CLASS A","Equity","0.28","40.66","8,847,449.00","359,737,276.34","359,737,276.34","Consumer Staples","B8CKK03","US6092071058","NASDAQ"
"COP","CONOCOPHILLIPS","Equity","0.28","50.05","7,141,561.00","357,435,128.05","357,435,128.05","Energy","2685717","US20825C1045","New York Stock Exchange Inc."
"DUK","DUKE ENERGY CORP","Equity","0.27","83.92","4,107,166.00","344,673,370.72","344,673,370.72","Utilities","B7VD3F2","US26441C2044","New York Stock Exchange Inc."
"AMT","AMERICAN TOWER REIT CORP","Equity","0.27","136.68","2,518,583.00","344,239,924.44","344,239,924.44","Real Estate","B7FBFL2","US03027X1000","New York Stock Exchange Inc."
"GD","GENERAL DYNAMICS CORP","Equity","0.26","205.58","1,634,352.00","335,990,084.16","335,990,084.16","Industrials","2365161","US3695501086","New York Stock Exchange Inc."
"EOG","EOG RESOURCES INC","Equity","0.26","96.74","3,388,709.00","327,823,708.66","327,823,708.66","Energy","2318024","US26875P1012","New York Stock Exchange Inc."
"FDX","FEDEX CORP","Equity","0.26","225.58","1,448,285.00","326,704,130.30","326,704,130.30","Industrials","2142784","US31428X1063","New York Stock Exchange Inc."
"AMAT","APPLIED MATERIAL INC","Equity","0.26","52.09","6,258,587.00","326,009,796.83","326,009,796.83","Information Technology","2046552","US0382221051","NASDAQ"
"AIG","AMERICAN INTERNATIONAL GROUP INC","Equity","0.26","61.39","5,301,517.00","325,460,128.63","325,460,128.63","Financials","2027342","US0268747849","New York Stock Exchange Inc."
"BLK","BLACKROCK INC","Equity","0.26","447.09","727,368.00","325,198,959.12","325,198,959.12","Financials","2494504","US09247X1019","New York Stock Exchange Inc."
"MET","METLIFE INC","Equity","0.26","51.95","6,237,362.00","324,030,955.90","324,030,955.90","Financials","2573209","US59156R1086","New York Stock Exchange Inc."
"BK","BANK OF NEW YORK MELLON CORP","Equity","0.25","53.02","6,062,953.00","321,457,768.06","321,457,768.06","Financials","B1Z77F6","US0640581007","New York Stock Exchange Inc."
"RTN","RAYTHEON","Equity","0.25","186.58","1,707,539.00","318,592,626.62","318,592,626.62","Industrials","2758051","US7551115071","New York Stock Exchange Inc."
"GM","GENERAL MOTORS","Equity","0.24","40.38","7,696,323.00","310,777,522.74","310,777,522.74","Consumer Discretionary","B665KZ5","US37045V1008","New York Stock Exchange Inc."
"AET","AETNA INC","Equity","0.24","159.01","1,952,186.00","310,417,095.86","310,417,095.86","Health Care","2695921","US00817Y1082","New York Stock Exchange Inc."
