iShares Core S&P 500 ETF
Inception Date,"May 15, 2000"
Fund Holdings as of,"Oct 31, 2017"
Total Net Assets,"133,414,175,708.62"
Shares Outstanding,"515,350,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"USB","US BANCORP","Equity","0.39","54.38","9,578,311.00","520,868,552.18","520,868,552.18","Financials","2736035","US9029733048","New York Stock Exchange Inc."
"ADBE","ADOBE SYSTEM INC","Equity","0.39","175.16","2,973,013.00","520,752,957.08","520,752,957.08","Information Technology","2008154","US00724F1012","NASDAQ"
"NFLX","NETFLIX INC","Equity","0.38","196.43","2,602,184.00","511,147,003.12","511,147,003.12","Consumer Discretionary","2857817","US64110L1061","NASDAQ"
"PYPL","PAYPAL HOLDINGS INC","Equity","0.37","72.56","6,812,566.00","494,319,788.96","494,319,788.96","Information Technology","BYW36M8","US70450Y1038","NASDAQ"
"UPS","UNITED PARCEL SERVICE INC CLASS B","Equity","0.37","117.53","4,151,603.00","487,937,900.59","487,937,900.59","Industrials","2517382","US9113121068","New York Stock Exchange Inc."
"CAT","CATERPILLAR INC","Equity","0.36","135.80","3,562,207.00","483,747,710.60","483,747,710.60","Industrials","2180201","US1491231015","New York Stock Exchange Inc."
"LLY","ELI LILLY","Equity","0.36","81.94","5,839,970.00","478,527,141.80","478,527,141.80","Health Care","2516152","US5324571083","New York Stock Exchange Inc."
"SBUX","STARBUCKS CORP","Equity","0.36","54.84","8,702,825.00","477,262,923.00","477,262,923.00","Consumer Discretionary","2842255","US8552441094","NASDAQ"
"CELG","CELGENE CORP","Equity","0.36","100.97","4,715,753.00","476,149,580.41","476,149,580.41","Health Care","2182348","US1510201049","NASDAQ"
"TMO","THERMO FISHER SCIENTIFIC INC","Equity","0.35","193.83","2,412,219.00","467,560,408.77","467,560,408.77","Health Care","2886907","US8835561023","New York Stock Exchange Inc."
"LMT","LOCKHEED MARTIN CORP","Equity","0.35","308.16","1,510,361.00","465,432,845.76","465,432,845.76","Industrials","2522096","US5398301094","New York Stock Exchange Inc."
"TWX","TIME WARNER INC","Equity","0.35","98.29","4,688,214.00","460,804,554.06","460,804,554.06","Consumer Discretionary","B63QTN2","US8873173038","New York Stock Exchange Inc."
"QCOM","QUALCOMM INC","Equity","0.34","51.01","8,905,182.00","454,253,333.82","454,253,333.82","Information Technology","2714923","US7475251036","NASDAQ"
"NEE","NEXTERA ENERGY INC","Equity","0.33","155.07","2,821,910.00","437,593,583.70","437,593,583.70","Utilities","2328915","US65339F1012","New York Stock Exchange Inc."
"NKE","NIKE INC CLASS B","Equity","0.33","54.99","7,919,637.00","435,500,838.63","435,500,838.63","Consumer Discretionary","2640147","US6541061031","New York Stock Exchange Inc."
"MS","MORGAN STANLEY","Equity","0.32","50.00","8,523,834.00","426,191,700.00","426,191,700.00","Financials","2262314","US6174464486","New York Stock Exchange Inc."
"COST","COSTCO WHOLESALE CORP","Equity","0.32","161.08","2,643,429.00","425,803,543.32","425,803,543.32","Consumer Staples","2701271","US22160K1051","NASDAQ"
"CB","CHUBB LTD","Equity","0.32","150.82","2,804,961.00","423,044,218.02","423,044,218.02","Financials","B3BQMF6","CH0044328745","New York Stock Exchange Inc."
"AXP","AMERICAN EXPRESS","Equity","0.32","95.52","4,422,344.00","422,422,298.88","422,422,298.88","Financials","2026082","US0258161092","New York Stock Exchange Inc."
"CRM","SALESFORCE.COM INC","Equity","0.32","102.34","4,115,243.00","421,153,968.62","421,153,968.62","Information Technology","2310525","US79466L3024","New York Stock Exchange Inc."
"CVS","CVS HEALTH CORP","Equity","0.31","68.53","6,127,138.00","419,892,767.14","419,892,767.14","Consumer Staples","2577609","US1266501006","New York Stock Exchange Inc."
"LOW","LOWES COMPANIES INC","Equity","0.30","79.95","5,088,641.00","406,836,847.95","406,836,847.95","Consumer Discretionary","2536763","US5486611073","New York Stock Exchange Inc."
"CHTR","CHARTER COMMUNICATIONS INC CLASS A","Equity","0.30","334.17","1,212,550.00","405,197,833.50","405,197,833.50","Consumer Discretionary","BZ6VT82","US16119P1084","NASDAQ"
"BIIB","BIOGEN INC INC","Equity","0.30","311.66","1,274,523.00","397,217,838.18","397,217,838.18","Health Care","2455965","US09062X1037","NASDAQ"
"PNC","PNC FINANCIAL SERVICES GROUP INC","Equity","0.30","136.79","2,888,314.00","395,092,472.06","395,092,472.06","Financials","2692665","US6934751057","New York Stock Exchange Inc."
"MDLZ","MONDELEZ INTERNATIONAL INC CLASS A","Equity","0.28","41.43","9,087,353.00","376,489,034.79","376,489,034.79","Consumer Staples","B8CKK03","US6092071058","NASDAQ"
"COP","CONOCOPHILLIPS","Equity","0.28","51.15","7,335,225.00","375,196,758.75","375,196,758.75","Energy","2685717","US20825C1045","New York Stock Exchange Inc."
"CL","COLGATE-PALMOLIVE","Equity","0.28","70.45","5,305,580.00","373,778,111.00","373,778,111.00","Consumer Staples","2209106","US1941621039","New York Stock Exchange Inc."
"DUK","DUKE ENERGY CORP","Equity","0.28","88.31","4,218,414.00","372,528,140.34","372,528,140.34","Utilities","B7VD3F2","US26441C2044","New York Stock Exchange Inc."
"AMT","AMERICAN TOWER REIT CORP","Equity","0.28","143.67","2,586,855.00","371,653,457.85","371,653,457.85","Real Estate","B7FBFL2","US03027X1000","New York Stock Exchange Inc."
"WBA","WALGREEN BOOTS ALLIANCE INC","Equity","0.28","66.27","5,546,901.00","367,593,129.27","367,593,129.27","Consumer Staples","BTN1Y44","US9314271084","NASDAQ"
"AMAT","APPLIED MATERIAL INC","Equity","0.27","56.43","6,428,315.00","362,749,815.45","362,749,815.45","Information Technology","2046552","US0382221051","NASDAQ"
"AGN","ALLERGAN","Equity","0.27","177.23","2,015,193.00","357,152,655.39","357,152,655.39","Health Care","BY9D546","IE00BY9D5467","New York Stock Exchange Inc."
"AIG","AMERICAN INTERNATIONAL GROUP INC","Equity","0.26","64.61","5,445,133.00","351,810,043.13","351,810,043.13","Financials","2027342","US0268747849","New York Stock Exchange Inc."
"BLK","BLACKROCK INC","Equity","0.26","470.83","746,952.00","351,687,410.16","351,687,410.16","Financials","2494504","US09247X1019","New York Stock Exchange Inc."
"EOG","EOG RESOURCES INC","Equity","0.26","99.87","3,480,645.00","347,612,016.15","347,612,016.15","Energy","2318024","US26875P1012","New York Stock Exchange Inc."
"MET","METLIFE INC","Equity","0.26","53.58","6,406,546.00","343,262,734.68","343,262,734.68","Financials","2573209","US59156R1086","New York Stock Exchange Inc."
"AET","AETNA INC","Equity","0.26","170.03","2,005,226.00","340,948,576.78","340,948,576.78","Health Care","2695921","US00817Y1082","New York Stock Exchange Inc."
"GD","GENERAL DYNAMICS CORP","Equity","0.26","202.98","1,678,688.00","340,740,090.24","340,740,090.24","Industrials","2365161","US3695501086","New York Stock Exchange Inc."
"DHR","DANAHER CORP","Equity","0.25","92.27","3,684,568.00","339,975,089.36","339,975,089.36","Health Care","2250870","US2358511028","New York Stock Exchange Inc."
"GM","GENERAL MOTORS","Equity","0.25","42.98","7,904,947.00","339,754,622.06","339,754,622.06","Consumer Discretionary","B665KZ5","US37045V1008","New York Stock Exchange Inc."
"FDX","FEDEX CORP","Equity","0.25","225.81","1,487,453.00","335,881,761.93","335,881,761.93","Industrials","2142784","US31428X1063","New York Stock Exchange Inc."
"ANTM","ANTHEM INC","Equity","0.25","209.21","1,582,876.00","331,153,487.96","331,153,487.96","Health Care","BSPHGL4","US0367521038","New York Stock Exchange Inc."
"SCHW","CHARLES SCHWAB CORP","Equity","0.24","44.84","7,183,634.00","322,114,148.56","322,114,148.56","Financials","2779397","US8085131055","New York Stock Exchange Inc."
"MON","MONSANTO","Equity","0.24","121.10","2,648,032.00","320,676,675.20","320,676,675.20","Materials","2654320","US61166W1018","New York Stock Exchange Inc."
"BK","BANK OF NEW YORK MELLON CORP","Equity","0.24","51.45","6,227,241.00","320,391,549.45","320,391,549.45","Financials","B1Z77F6","US0640581007","New York Stock Exchange Inc."
"RTN","RAYTHEON","Equity","0.24","180.20","1,753,779.00","316,030,975.80","316,030,975.80","Industrials","2758051","US7551115071","New York Stock Exchange Inc."
"SO","SOUTHERN","Equity","0.24","52.20","6,024,121.00","314,459,116.20","314,459,116.20","Utilities","2829601","US8425871071","New York Stock Exchange Inc."
"D","DOMINION ENERGY INC","Equity","0.24","81.14","3,873,232.00","314,274,044.48","314,274,044.48","Utilities","2542049","US25746U1097","New York Stock Exchange Inc."
"ADP","AUTOMATIC DATA PROCESSING INC","Equity","0.23","116.26","2,678,498.00","311,402,177.48","311,402,177.48","Information Technology","2065308","US0530151036","NASDAQ"
"NOC","NORTHROP GRUMMAN CORP","Equity","0.23","295.53","1,052,030.00","310,906,425.90","310,906,425.90","Industrials","2648806","US6668071029","New York Stock Exchange Inc."
"SYK","STRYKER CORP","Equity","0.23","154.87","1,938,955.00","300,285,960.85","300,285,960.85","Health Care","2853688","US8636671013","New York Stock Exchange Inc."
"CI","CIGNA CORP","Equity","0.22","197.22","1,517,498.00","299,280,955.56","299,280,955.56","Health Care","2196479","US1255091092","New York Stock Exchange Inc."
"ATVI","ACTIVISION BLIZZARD INC","Equity","0.22","65.49","4,550,086.00","297,985,132.14","297,985,132.14","Information Technology","2575818","US00507V1098","NASDAQ"
"OXY","OCCIDENTAL PETROLEUM CORP","Equity","0.22","64.57","4,608,436.00","297,566,712.52","297,566,712.52","Energy","2655408","US6745991058","New York Stock Exchange Inc."
"MU","MICRON TECHNOLOGY INC","Equity","0.22","44.31","6,710,615.00","297,347,350.65","297,347,350.65","Information Technology","2588184","US5951121038","NASDAQ"
"ITW","ILLINOIS TOOL INC","Equity","0.22","156.52","1,866,547.00","292,151,936.44","292,151,936.44","Industrials","2457552","US4523081093","New York Stock Exchange Inc."
