iShares Core S&P 500 ETF
Inception Date,"May 15, 2000"
Fund Holdings as of,"Mar 31, 2017"
Total Net Assets,"101,821,854,272.44"
Shares Outstanding,"429,250,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"GILD","GILEAD SCIENCES INC","Equity","0.44","67.92","6,548,905.00","444,801,627.60","444,801,627.60","Health Care","2369174","US3755581036","NASDAQ"
"AVGO","BROADCOM LTD","Equity","0.43","218.96","2,009,355.00","439,968,370.80","439,968,370.80","Information Technology","BD9WQP4","SG9999014823","NASDAQ"
"PCLN","PRICELINE GROUP INC/THE","Equity","0.43","1,779.97","246,369.00","438,529,428.93","438,529,428.93","Consumer Discretionary","2779063","US7415034039","NASDAQ"
"UNP","UNION PACIFIC CORP","Equity","0.42","105.92","4,077,422.00","431,880,538.24","431,880,538.24","Industrials","2914734","US9078181081","New York Stock Exchange Inc."
"GS","GOLDMAN SACHS GROUP INC","Equity","0.42","229.72","1,856,296.00","426,428,317.12","426,428,317.12","Financials","2407966","US38141G1040","New York Stock Exchange Inc."
"SBUX","STARBUCKS CORP","Equity","0.42","58.39","7,302,138.00","426,371,837.82","426,371,837.82","Consumer Discretionary","2842255","US8552441094","NASDAQ"
"QCOM","QUALCOMM INC","Equity","0.42","57.34","7,400,533.00","424,346,562.22","424,346,562.22","Information Technology","2714923","US7475251036","NASDAQ"
"UTX","UNITED TECHNOLOGIES CORP","Equity","0.41","112.21","3,755,025.00","421,351,355.25","421,351,355.25","Industrials","2915500","US9130171096","New York Stock Exchange Inc."
"USB","US BANCORP","Equity","0.40","51.50","7,978,649.00","410,900,423.50","410,900,423.50","Financials","2736035","US9029733048","New York Stock Exchange Inc."
"LLY","ELI LILLY","Equity","0.40","84.11","4,864,836.00","409,181,355.96","409,181,355.96","Health Care","2516152","US5324571083","New York Stock Exchange Inc."
"TXN","TEXAS INSTRUMENTS INCORPORATED","Equity","0.40","80.56","5,008,562.00","403,489,754.72","403,489,754.72","Information Technology","2885409","US8825081040","NASDAQ"
"CVS","CVS HEALTH CORP","Equity","0.40","78.50","5,139,156.00","403,423,746.00","403,423,746.00","Consumer Staples","2577609","US1266501006","New York Stock Exchange Inc."
"AGN","ALLERGAN","Equity","0.39","238.92","1,679,615.00","401,293,615.80","401,293,615.80","Health Care","BY9D546","IE00BY9D5467","New York Stock Exchange Inc."
"ABT","ABBOTT LABORATORIES","Equity","0.38","44.41","8,657,919.00","384,498,182.79","384,498,182.79","Health Care","2002305","US0028241000","New York Stock Exchange Inc."
"TWX","TIME WARNER INC","Equity","0.37","97.71","3,879,709.00","379,086,366.39","379,086,366.39","Consumer Discretionary","B63QTN2","US8873173038","New York Stock Exchange Inc."
"ACN","ACCENTURE PLC","Equity","0.37","119.88","3,119,600.00","373,977,648.00","373,977,648.00","Information Technology","B4BNMY3","IE00B4BNMY34","New York Stock Exchange Inc."
"UPS","UNITED PARCEL SERVICE INC CLASS B","Equity","0.36","107.30","3,453,281.00","370,537,051.30","370,537,051.30","Industrials","2517382","US9113121068","New York Stock Exchange Inc."
"NKE","NIKE INC CLASS B","Equity","0.36","55.73","6,639,866.00","370,039,732.18","370,039,732.18","Consumer Discretionary","2640147","US6541061031","New York Stock Exchange Inc."
"COST","COSTCO WHOLESALE CORP","Equity","0.36","167.69","2,199,255.00","368,793,070.95","368,793,070.95","Consumer Staples","2701271","US22160K1051","NASDAQ"
"LOW","LOWES COMPANIES INC","Equity","0.35","82.21","4,338,975.00","356,707,134.75","356,707,134.75","Consumer Discretionary","2536763","US5486611073","New York Stock Exchange Inc."
"DOW","DOW CHEMICAL","Equity","0.35","63.54","5,592,806.00","355,366,893.24","355,366,893.24","Materials","2278719","US2605431038","New York Stock Exchange Inc."
"WBA","WALGREEN BOOTS ALLIANCE","Equity","0.35","83.05","4,272,006.00","354,790,098.30","354,790,098.30","Consumer Staples","BTN1Y44","US9314271084","NASDAQ"
"CHTR","CHARTER COMMUNICATIONS INC CLASS A","Equity","0.35","327.32","1,077,838.00","352,797,934.16","352,797,934.16","Consumer Discretionary","BZ6VT82","US16119P1084","NASDAQ"
"DD","E I DU PONT DE NEMOURS","Equity","0.34","80.33","4,331,855.00","347,977,912.15","347,977,912.15","Materials","2018175","US2635341090","New York Stock Exchange Inc."
"LMT","LOCKHEED MARTIN CORP","Equity","0.33","267.60","1,250,959.00","334,756,628.40","334,756,628.40","Industrials","2522096","US5398301094","New York Stock Exchange Inc."
"MDLZ","MONDELEZ INTERNATIONAL INC CLASS A","Equity","0.32","43.08","7,648,905.00","329,514,827.40","329,514,827.40","Consumer Staples","B8CKK03","US6092071058","NASDAQ"
"CL","COLGATE-PALMOLIVE","Equity","0.32","73.19","4,423,440.00","323,751,573.60","323,751,573.60","Consumer Staples","2209106","US1941621039","New York Stock Exchange Inc."
"ADBE","ADOBE SYSTEM INC","Equity","0.32","130.13","2,481,498.00","322,917,334.74","322,917,334.74","Information Technology","2008154","US00724F1012","NASDAQ"
"NVDA","NVIDIA CORP","Equity","0.32","108.93","2,950,598.00","321,408,640.14","321,408,640.14","Information Technology","2379504","US67066G1040","NASDAQ"
"NFLX","NETFLIX INC","Equity","0.31","147.81","2,155,966.00","318,673,334.46","318,673,334.46","Consumer Discretionary","2857817","US64110L1061","NASDAQ"
"CB","CHUBB LTD","Equity","0.31","136.25","2,333,744.00","317,972,620.00","317,972,620.00","Financials","B3BQMF6","CH0044328745","New York Stock Exchange Inc."
"COP","CONOCOPHILLIPS","Equity","0.30","49.87","6,203,283.00","309,357,723.21","309,357,723.21","Energy","2685717","US20825C1045","New York Stock Exchange Inc."
"MS","MORGAN STANLEY","Equity","0.30","42.84","7,194,716.00","308,221,633.44","308,221,633.44","Financials","2262314","US6174464486","New York Stock Exchange Inc."
"NEE","NEXTERA ENERGY INC","Equity","0.30","128.37","2,342,766.00","300,740,871.42","300,740,871.42","Utilities","2328915","US65339F1012","New York Stock Exchange Inc."
"TMO","THERMO FISHER SCIENTIFIC INC","Equity","0.30","153.60","1,956,011.00","300,443,289.60","300,443,289.60","Health Care","2886907","US8835561023","New York Stock Exchange Inc."
"AXP","AMERICAN EXPRESS","Equity","0.29","79.11","3,793,200.00","300,080,052.00","300,080,052.00","Financials","2026082","US0258161092","New York Stock Exchange Inc."
"BIIB","BIOGEN INC","Equity","0.29","273.42","1,081,393.00","295,674,474.06","295,674,474.06","Health Care","2455965","US09062X1037","NASDAQ"
"PNC","PNC FINANCIAL SERVICES GROUP INC","Equity","0.29","120.24","2,435,627.00","292,859,790.48","292,859,790.48","Financials","2692665","US6934751057","New York Stock Exchange Inc."
"AIG","AMERICAN INTERNATIONAL GROUP INC","Equity","0.29","62.43","4,662,565.00","291,083,932.95","291,083,932.95","Financials","2027342","US0268747849","New York Stock Exchange Inc."
"MET","METLIFE INC","Equity","0.28","52.82","5,447,583.00","287,741,334.06","287,741,334.06","Financials","2573209","US59156R1086","New York Stock Exchange Inc."
"DUK","DUKE ENERGY CORP","Equity","0.28","82.01","3,505,307.00","287,470,227.07","287,470,227.07","Utilities","B7VD3F2","US26441C2044","New York Stock Exchange Inc."
"EOG","EOG RESOURCES INC","Equity","0.28","97.55","2,890,157.00","281,934,815.35","281,934,815.35","Energy","2318024","US26875P1012","New York Stock Exchange Inc."
"SPG","SIMON PROPERTY GROUP REIT INC","Equity","0.27","172.03","1,602,450.00","275,669,473.50","275,669,473.50","Real Estate","2812452","US8288061091","New York Stock Exchange Inc."
"CAT","CATERPILLAR INC","Equity","0.27","92.76","2,936,008.00","272,344,102.08","272,344,102.08","Industrials","2180201","US1491231015","New York Stock Exchange Inc."
"KHC","KRAFT HEINZ","Equity","0.27","90.81","2,988,171.00","271,355,808.51","271,355,808.51","Consumer Staples","BYRY499","US5007541064","NASDAQ"
"CRM","SALESFORCE.COM INC","Equity","0.27","82.49","3,278,349.00","270,431,009.01","270,431,009.01","Information Technology","2310525","US79466L3024","New York Stock Exchange Inc."
"GD","GENERAL DYNAMICS CORP","Equity","0.26","187.20","1,428,149.00","267,349,492.80","267,349,492.80","Industrials","2365161","US3695501086","New York Stock Exchange Inc."
"DHR","DANAHER CORP","Equity","0.26","85.53","3,053,739.00","261,186,296.67","261,186,296.67","Health Care","2250870","US2358511028","New York Stock Exchange Inc."
"RAI","REYNOLDS AMERICAN INC","Equity","0.26","63.02","4,143,802.00","261,142,402.04","261,142,402.04","Consumer Staples","2429090","US7617131062","New York Stock Exchange Inc."
"AMT","AMERICAN TOWER REIT CORP","Equity","0.26","121.54","2,140,399.00","260,144,094.46","260,144,094.46","Real Estate","B7FBFL2","US03027X1000","New York Stock Exchange Inc."
"TJX","TJX INC","Equity","0.25","79.08","3,266,257.00","258,295,603.56","258,295,603.56","Consumer Discretionary","2989301","US8725401090","New York Stock Exchange Inc."
"SCHW","CHARLES SCHWAB CORP","Equity","0.24","40.81","6,103,753.00","249,094,159.93","249,094,159.93","Financials","2779397","US8085131055","New York Stock Exchange Inc."
"MON","MONSANTO","Equity","0.24","113.20","2,196,973.00","248,697,343.60","248,697,343.60","Materials","2654320","US61166W1018","New York Stock Exchange Inc."
"SO","SOUTHERN","Equity","0.24","49.78","4,965,529.00","247,184,033.62","247,184,033.62","Utilities","2829601","US8425871071","New York Stock Exchange Inc."
"BK","BANK OF NEW YORK MELLON CORP","Equity","0.24","47.23","5,212,343.00","246,178,959.89","246,178,959.89","Financials","B1Z77F6","US0640581007","New York Stock Exchange Inc."
"D","DOMINION RESOURCES INC","Equity","0.24","77.57","3,155,679.00","244,786,020.03","244,786,020.03","Utilities","2542049","US25746U1097","New York Stock Exchange Inc."
"OXY","OCCIDENTAL PETROLEUM CORP","Equity","0.24","63.36","3,829,265.00","242,622,230.40","242,622,230.40","Energy","2655408","US6745991058","New York Stock Exchange Inc."
"PYPL","PAYPAL HOLDINGS INC","Equity","0.24","43.02","5,626,697.00","242,060,504.94","242,060,504.94","Information Technology","BYW36M8","US70450Y1038","NASDAQ"
"GM","GENERAL MOTORS","Equity","0.24","35.36","6,828,654.00","241,461,205.44","241,461,205.44","Consumer Discretionary","B665KZ5","US37045V1008","New York Stock Exchange Inc."
"FDX","FEDEX CORP","Equity","0.24","195.15","1,228,404.00","239,723,040.60","239,723,040.60","Industrials","2142784","US31428X1063","New York Stock Exchange Inc."
